y_true,y_proba,relevance,threshold
0,0.2869306124620531,1,0.5
0,0.2335915684073588,1,0.5
0,0.1602328427265368,1,0.5
0,0.0961055214279815,1,0.5
0,0.2485074023335084,1,0.5
0,0.1380751793259317,1,0.5
0,0.1609389663129617,1,0.5
0,0.3759977797920045,1,0.5
0,0.3991829546931278,1,0.5
0,0.0803970559823471,1,0.5
0,0.0747395951446099,1,0.5
0,0.1720327444792014,1,0.5
0,0.2659171301756844,1,0.5
0,0.2379271371538243,1,0.5
0,0.380765377867251,1,0.5
0,0.2960484121563507,1,0.5
0,0.191150355071669,1,0.5
0,0.2663134010400657,1,0.5
0,0.5,1,0.5
0,0.1595776294104646,1,0.5
0,0.3105799271463471,1,0.5
0,0.1953881810853766,1,0.5
0,0.0912181972115908,1,0.5
0,0.2068545506192276,1,0.5
0,0.2528143146752069,1,0.5
0,0.4514234118621273,1,0.5
0,0.1708768564709731,1,0.5
0,0.125598957994038,1,0.5
0,0.2408158652819386,1,0.5
0,0.2601323208412025,1,0.5
0,0.3930909848772486,1,0.5
0,0.3401131397828689,1,0.5
0,0.2478438575079092,1,0.5
0,0.1504191918866365,1,0.5
0,0.3524747791838505,1,0.5
0,0.1227539840314203,1,0.5
0,0.2425717923455594,1,0.5
0,0.2329476065181047,1,0.5
0,0.3867887483187608,1,0.5
0,0.114032827577076,1,0.5
0,0.1986179374925415,1,0.5
0,0.151591748084311,1,0.5
0,0.1965687743113294,1,0.5
0,0.2435162936938842,1,0.5
0,0.1704061460995124,1,0.5
0,0.1900952721355171,1,0.5
0,0.0895206609544131,1,0.5
0,0.1443199411756307,1,0.5
0,0.3225183039882474,1,0.5
0,0.159192261123504,1,0.5
0,0.332750835859451,1,0.5
0,0.1477070190234016,1,0.5
0,0.1537338992235282,1,0.5
0,0.7077057523542412,1,0.5
0,0.0766813526157953,1,0.5
0,0.2716714298902807,1,0.5
0,0.1820912529763114,1,0.5
0,0.1108463092243645,1,0.5
0,0.3101915073880969,1,0.5
0,0.3029268601426949,1,0.5
0,0.1676809391776369,1,0.5
0,0.3356132754341684,1,0.5
0,0.1607957518729791,1,0.5
0,0.6236010563340826,1,0.5
0,0.2155942727557002,1,0.5
0,0.399908994820184,1,0.5
0,0.2360210090315515,1,0.5
0,0.2683264384974226,1,0.5
0,0.3181203062825955,1,0.5
0,0.3234330626714694,1,0.5
0,0.1028355498846843,1,0.5
0,0.6097660882685101,1,0.5
0,0.5246112236691852,1,0.5
0,0.2515956002459463,1,0.5
0,0.2283655223004229,1,0.5
0,0.235686345572968,1,0.5
0,0.2763033872979695,1,0.5
0,0.3413699043321048,1,0.5
0,0.149628719846719,1,0.5
0,0.3391405194383194,1,0.5
0,0.3191414197254933,1,0.5
0,0.2837617084065075,1,0.5
0,0.4207007053400269,1,0.5
0,0.2672029893789921,1,0.5
0,0.3133001216805552,1,0.5
0,0.1526660013454892,1,0.5
0,0.2179159471168276,1,0.5
0,0.2950196420205755,1,0.5
0,0.2098372859490452,1,0.5
0,0.3373714965357903,1,0.5
0,0.2831659792301593,1,0.5
0,0.1110380160884682,1,0.5
0,0.2682891152986542,1,0.5
0,0.1598784522355482,1,0.5
0,0.2660018299084284,1,0.5
0,0.5979461805507575,1,0.5
0,0.2770758280820318,1,0.5
0,0.2776247357394203,1,0.5
0,0.261382586094834,1,0.5
0,0.1938404775620803,1,0.5
0,0.5199046764584487,1,0.5
0,0.4171632953475533,1,0.5
0,0.3180916598875401,1,0.5
0,0.5086669948586483,1,0.5
0,0.1387916237101463,1,0.5
0,0.1641044908860577,1,0.5
0,0.0995030408654344,1,0.5
0,0.1534638270410775,1,0.5
0,0.4517477794959799,1,0.5
0,0.1982901307340839,1,0.5
0,0.3504017224129235,1,0.5
0,0.1405582443454373,1,0.5
0,0.1921818691001181,1,0.5
0,0.1911824824549825,1,0.5
0,0.0968255452128089,1,0.5
0,0.6202120308181207,1,0.5
0,0.2654462379694022,1,0.5
0,0.1201947521052066,1,0.5
0,0.1261058445018534,1,0.5
0,0.6086807405923079,1,0.5
0,0.2074956747898307,1,0.5
0,0.2006708489418922,1,0.5
0,0.2688071552755532,1,0.5
0,0.2196628643438375,1,0.5
0,0.1965687743113294,1,0.5
0,0.2432280288321966,1,0.5
0,0.7439022908806541,1,0.5
0,0.4116579561423736,1,0.5
0,0.3393316756192545,1,0.5
0,0.0876426718236829,1,0.5
0,0.190889423253986,1,0.5
0,0.2503256033273327,1,0.5
0,0.23257693012557,1,0.5
0,0.6107468945833101,1,0.5
0,0.1799970953887156,1,0.5
0,0.3033784559575135,1,0.5
0,0.1470507452797089,1,0.5
0,0.1567332908227264,1,0.5
0,0.1890583266825137,1,0.5
0,0.3794327615152202,1,0.5
0,0.130908255714804,1,0.5
0,0.0903114195155305,1,0.5
